iter	Passed	Remaining
1255	10318	38973
1256	10326	38963
1257	10333	38953
1258	10342	38945
1259	10349	38933
1260	10356	38920
1261	10364	38912
1262	10371	38899
1263	10378	38888
1264	10386	38878
1265	10393	38866
1266	10400	38853
1267	10407	38840
1268	10415	38829
1269	10423	38820
1270	10430	38808
1271	10437	38795
1272	10445	38785
1273	10452	38775
1274	10460	38766
1275	10467	38754
1276	10475	38744
1277	10482	38732
1278	10490	38721
1279	10497	38711
1280	10505	38700
1281	10513	38691
1282	10521	38681
1283	10527	38666
1284	10535	38656
1285	10542	38643
1286	10549	38633
1287	10557	38622
1288	10566	38617
1289	10573	38604
1290	10580	38592
1291	10587	38579
1292	10594	38566
1293	10600	38553
1294	10608	38542
1295	10615	38530
1296	10622	38516
1297	10629	38505
1298	10636	38492
1299	10643	38480
1300	10650	38467
1301	10657	38454
1302	10664	38441
1303	10671	38429
1304	10678	38416
1305	10685	38405
1306	10692	38393
1307	10699	38380
1308	10706	38368
1309	10713	38357
1310	10721	38345
1311	10727	38332
1312	10734	38319
1313	10742	38308
1314	10749	38296
1315	10755	38283
1316	10763	38272
1317	10770	38260
1318	10777	38248
1319	10784	38236
1320	10791	38224
1321	10798	38211
1322	10805	38199
1323	10812	38187
1324	10820	38177
1325	10827	38165
1326	10835	38157
1327	10842	38146
1328	10850	38136
1329	10857	38124
1330	10864	38111
1331	10872	38104
1332	10880	38093
1333	10887	38082
1334	10895	38072
1335	10903	38063
1336	10911	38055
1337	10919	38048
1338	10928	38040
1339	10935	38028
1340	10942	38016
1341	10950	38006
1342	10956	37993
1343	10963	37982
1344	10970	37969
1345	10977	37957
1346	10984	37945
1347	10992	37936
1348	10999	37923
1349	11007	37913
1350	11013	37900
1351	11020	37887
1352	11027	37876
1353	11035	37864
1354	11042	37853
1355	11049	37840
1356	11056	37831
1357	11063	37818
1358	11070	37807
1359	11077	37794
1360	11085	37784
1361	11092	37773
1362	11099	37761
1363	11106	37750
1364	11113	37738
1365	11120	37726
1366	11127	37714
1367	11135	37704
1368	11142	37692
1369	11149	37681
1370	11156	37669
1371	11163	37656
1372	11170	37644
1373	11177	37632
1374	11184	37621
1375	11191	37608
1376	11198	37596
1377	11205	37584
1378	11212	37572
1379	11219	37561
1380	11226	37549
1381	11234	37538
1382	11240	37526
1383	11248	37516
1384	11255	37504
1385	11307	37641
1386	11404	37931
1387	11412	37921
1388	11419	37908
1389	11426	37897
1390	11433	37883
1391	11440	37871
1392	11447	37860
1393	11454	37847
1394	11462	37837
1395	11469	37826
1396	11477	37817
1397	11485	37807
1398	11493	37798
1399	11500	37787
1400	11507	37775
1401	11514	37763
1402	11521	37751
1403	11528	37740
1404	11535	37727
1405	11543	37718
1406	11550	37705
1407	11558	37695
1408	11564	37681
1409	11572	37670
1410	11578	37657
1411	11585	37645
1412	11592	37632
1413	11599	37620
1414	11606	37608
1415	11613	37594
1416	11620	37582
1417	11626	37569
1418	11633	37557
1419	11640	37545
1420	11647	37533
1421	11654	37521
1422	11661	37508
1423	11668	37496
1424	11675	37483
1425	11682	37471
1426	11688	37457
1427	11695	37446
1428	11702	37434
1429	11709	37422
1430	11716	37410
1431	11723	37398
1432	11730	37386
1433	11737	37374
1434	11745	37364
1435	11752	37351
1436	11759	37340
1437	11766	37328
1438	11773	37317
1439	11780	37305
1440	11788	37296
1441	11795	37284
1442	11804	37277
1443	11811	37265
1444	11817	37252
1445	11824	37240
1446	11831	37227
1447	11838	37215
1448	11845	37203
1449	11851	37190
1450	11858	37178
1451	11865	37165
1452	11872	37153
1453	11879	37141
1454	11886	37130
1455	11893	37119
1456	11900	37105
1457	11907	37094
1458	11914	37082
1459	11921	37071
1460	11928	37058
1461	11934	37045
1462	11942	37035
1463	11949	37023
1464	11956	37012
1465	11963	37001
1466	11971	36990
1467	11978	36979
1468	11986	36969
1469	11992	36957
1470	11999	36945
1471	12006	36933
1472	12013	36921
1473	12020	36910
1474	12028	36902
1475	12036	36891
1476	12044	36883
1477	12052	36874
1478	12059	36864
1479	12067	36853
1480	12073	36840
1481	12080	36829
1482	12087	36816
1483	12094	36806
1484	12101	36794
1485	12108	36782
1486	12115	36770
1487	12122	36759
1488	12129	36747
1489	12136	36735
1490	12143	36724
1491	12150	36711
1492	12157	36699
1493	12164	36687
1494	12170	36675
1495	12177	36663
1496	12185	36653
1497	12192	36641
1498	12198	36628
1499	12205	36616
1500	12212	36605
1501	12219	36593
1502	12226	36582
1503	12233	36569
1504	12240	36557
1505	12246	36545
1506	12253	36533
1507	12260	36521
1508	12267	36509
1509	12274	36498
1510	12281	36485
1511	12288	36475
1512	12295	36463
1513	12302	36451
1514	12309	36439
1515	12315	36427
1516	12322	36415
1517	12329	36403
1518	12336	36392
1519	12343	36380
1520	12350	36370
1521	12358	36360
1522	12395	36436
1523	12524	36785
1524	12532	36774
1525	12538	36762
1526	12546	36750
1527	12553	36740
1528	12560	36728
1529	12567	36717
1530	12574	36705
1531	12582	36695
1532	12589	36684
1533	12597	36675
1534	12604	36663
1535	12611	36651
1536	12618	36639
1537	12625	36627
1538	12632	36616
1539	12639	36604
1540	12646	36592
1541	12652	36580
1542	12659	36567
1543	12666	36555
1544	12673	36542
1545	12680	36531
1546	12687	36519
1547	12693	36506
1548	12700	36494
1549	12707	36483
1550	12714	36470
1551	12720	36457
1552	12727	36446
1553	12734	36434
1554	12741	36423
1555	12748	36410
1556	12756	36402
1557	12764	36391
1558	12771	36381
1559	12778	36369
1560	12785	36358
1561	12792	36346
1562	12799	36335
1563	12806	36323
1564	12813	36310
1565	12820	36299
1566	12827	36287
1567	12833	36275
1568	12841	36264
1569	12849	36257
1570	12857	36247
1571	12864	36237
1572	12871	36225
1573	12880	36218
1574	12887	36207
1575	12894	36197
1576	12901	36185
1577	12908	36173
1578	12915	36162
1579	12922	36150
1580	12929	36137
1581	12936	36126
1582	12943	36114
1583	12950	36103
1584	12957	36091
1585	12964	36080
1586	12970	36067
1587	12977	36056
1588	12984	36045
1589	12991	36033
1590	12998	36022
1591	13005	36011
1592	13013	36001
1593	13020	35991
1594	13028	35980
1595	13034	35968
1596	13042	35957
1597	13049	35947
